tmdb_id,show_tmdb_id,season_number,title,original_title,description,release_year,image_url,air_date
136095,95599,1,Сезон 1,Сезон 1,"Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive -- and get home -- with help from her ragtag crew.",2020,https://image.tmdb.org/t/p/w500/bG1X9tgsKV5fo7NbmpNjg4tVASx.jpg,2020-01-14
152486,95599,2,Сезон 2,Сезон 2,,2020,https://image.tmdb.org/t/p/w500/7tRyobNWKkAUf2OtsGFP0gioLwz.jpg,2020-06-12
165592,95599,3,Сезон 3,Сезон 3,,2020,https://image.tmdb.org/t/p/w500/7EevPQ4nOak8qnquvh7H6QY7f23.jpg,2020-10-12
66160,62476,1,Сезон 1,Сезон 1,,2015,https://image.tmdb.org/t/p/w500/bmwzVcAfLOxvMr7q5ADuurnsPfy.jpg,2015-04-27
76753,62476,2,Сезон 2,Сезон 2,,2016,https://image.tmdb.org/t/p/w500/kovOsUudfhFndqPFETJW3edo9SG.jpg,2016-05-09
88396,62476,3,Сезон 3,Сезон 3,,2017,https://image.tmdb.org/t/p/w500/tgkgWWOOkM50mEkr28V48enMcqm.jpg,2017-05-22
110510,62476,4,Сезон 4,Сезон 4,"In the fourth season, chased by the D.G.S.E. and the C.I.A. all the way to Moscow, intelligence officer Malotru (Mathieu Kassovitz) tries to negotiate his return to France. The D.G.S.E.’s new head of Internal Security, JJA, initiates a full-spectrum audit of The Bureau and its new chief Marie-Jeanne, with the clear-cut intention of severing a few heads in the process.",2018,https://image.tmdb.org/t/p/w500/33YfFQ4pnoE0tDPW16QYItDKMuE.jpg,2018-10-22
142735,62476,5,Сезон 5,Сезон 5,,2020,https://image.tmdb.org/t/p/w500/8ZkGAPCQosUPrnRgQerKNTqPEmy.jpg,2020-04-06
101744,78483,1,Сезон 1,Сезон 1,,2018,https://image.tmdb.org/t/p/w500/bY9xAROWm8HLKsTItc5c45VCDmK.jpg,2018-04-02
431043,78483,2,Kakuriyo -Bed & Breakfast for Spirits- 2,Kakuriyo -Bed & Breakfast for Spirits- 2,,2025,https://image.tmdb.org/t/p/w500/xjSVWgxK68F7eS46WQfUXLNpKkd.jpg,2025-10-02
60042,903,1,Сезон 1,Сезон 1,"Meet Bernard Black, a foul tempered and eccentric bookshop owner who loves his books but hates his customers. Manny is Bernard's long-suffering assistant and Fran is the owner of the gift shop next door to Black Books. Black Books explores Manny and Fran's efforts to ensure Bernard has some contact with the outside world and charts the comical consequences of their efforts.",2000,https://image.tmdb.org/t/p/w500/bQcfOZxasQXYOPHNyxPicpKmMn2.jpg,2000-09-29
60043,903,2,Сезон 2,Сезон 2,"In season two, Bernard is convinced the Manny is mad; Manny worries about the reliability of his magic hot water bottle and uses his underworld connections to help find Fran a job. Fran struggles to find her inner karma in-between trying to find her cigarettes and making excuses to have another drink. Under the constant threat from the nasty, unfeeling outside world, Bernard, Manny and Fran attempt to maintain the heaven of the bookshop even as their own relentless stupidity pushes them towards mayhem.",2002,https://image.tmdb.org/t/p/w500/dTOoTfop1Y1fiOxEb1lVnDLGDRx.jpg,2002-03-01
60044,903,3,Сезон 3,Сезон 3,"Bernard Black is back for a third season of his multi-award winning and critically acclaimed comedy. Black Books continues to explore the musing and time-wasting techniques of raddled proprietor Bernard Black, his shy, multi-challenged assistant Manny Bianco and their underachieving friend Fran Katzenjammer.",2004,https://image.tmdb.org/t/p/w500/eWVw3DnsHSgWESvU1t6p4rynBEC.jpg,2004-03-11
18762,8880,1,Сезон 1,Сезон 1,,1982,https://image.tmdb.org/t/p/w500/kpnKnTo731VIvMlWrrZHmPISeSa.jpg,1982-10-07
5230,1835,1,Season 1,Season 1,"Aw, here it goes! Best friends Kenan and Kel always end up in wacky situations together — but in their case, two heads may not be better than one.",1996,https://image.tmdb.org/t/p/w500/biUJ4rUORo0ZQKANERVLitGC6ep.jpg,1996-08-17
5232,1835,2,Season 2,Season 2,"They may be older, but are they any wiser? Kenan and Kel return for more orange soda-fueled capers including playing hooky and winning the lottery!",1997,https://image.tmdb.org/t/p/w500/enymPZWDfh2MOiJlJQaFhB4OncD.jpg,1997-09-06
5231,1835,3,Season 3,Season 3,,1998,https://image.tmdb.org/t/p/w500/kCohQkR4yAW88N2QJRO1D2wjObo.jpg,1998-10-10
5229,1835,4,Season 4,Season 4,,1999,https://image.tmdb.org/t/p/w500/fqbl889anMAsfVXYlOvmdVYupdo.jpg,1999-07-31
73963,65329,1,Сезон 1,Сезон 1,,2012,https://image.tmdb.org/t/p/w500/o9SM5Bljnb8IokMbdp1Xij6gMxS.jpg,2012-04-23
326081,219063,1,Сезон 1,Сезон 1,,2023,https://image.tmdb.org/t/p/w500/8SB4i4grrqii6ND5plhN5fwSPfA.jpg,2023-02-15
398081,219063,2,Сезон 2,Сезон 2,"Eva's return sparks a new round of school debates, deep chats, dating dramas, magical moments of camaraderie — and endless hope for Camilo.",2024,https://image.tmdb.org/t/p/w500/65q1z52NF803018kuROnlsznyPp.jpg,2024-07-10
455317,219063,3,Сезон 3,Сезон 3,,2025,https://image.tmdb.org/t/p/w500/qJxJasO1itd8inbgrrUEgtyOAe1.jpg,2025-06-04
501158,219063,4,Сезон 4,Сезон 4,,2026,https://image.tmdb.org/t/p/w500/jm4pce7W9ioetvAEswvEOIzPtKp.jpg,2026-03-18
59846,60549,1,Сезон 1,Сезон 1,,2000,https://image.tmdb.org/t/p/w500/xbxbnRtdxeXs6bt2sDZ1jNvgcdU.jpg,2000-10-18
